profile,origin,days,seed,completed_days,skipped_days,return_count,recovery_days,burnout,action_concentration,ending_band,xp,material
perfect,lost,30,0,30,0,0,4,1.62,0.217,open,600.0,60.0
cautious,lost,30,0,19,11,7,3,0,0.211,returning,177.84,19.0
balanced,lost,30,0,24,6,6,3,1.04,0.25,returning,470.4,48.0
chaotic,lost,30,0,15,15,10,1,5.8,0.244,returning,466.2,45.0
high_skip,lost,30,0,8,22,5,2,0,0.25,returning,75.52,8.0
returning,lost,30,0,15,15,9,1,0.58,0.3,returning,289.2,30.0
overload,lost,30,0,28,2,2,4,72.09,0.225,overloaded,1209.9,111.0
optimizer,lost,30,0,27,3,3,4,1.57,0.185,open,822.96,81.0
low_energy,lost,30,0,13,17,8,4,0,0.385,returning,119.08,13.0
adversarial,lost,30,0,27,3,3,7,74.65,0.194,overloaded,1431.9,129.0
perfect,burnout,30,0,29,1,0,4,0,0.241,open,580.0,58.0
cautious,burnout,30,0,17,13,5,2,0,0.294,returning,159.12,17.0
balanced,burnout,30,0,22,8,7,4,0,0.227,returning,431.2,44.0
chaotic,burnout,30,0,12,18,6,1,0,0.222,returning,372.96,36.0
high_skip,burnout,30,0,6,24,4,1,0,0.333,returning,56.64,6.0
returning,burnout,30,0,17,13,7,3,0.29,0.294,returning,327.76,34.0
overload,burnout,30,0,26,4,3,3,71.93,0.204,open,1068.2,98.0
optimizer,burnout,30,0,28,2,2,2,27.45,0.179,open,853.44,84.0
low_energy,burnout,30,0,13,17,7,5,0,0.385,returning,119.08,13.0
adversarial,burnout,30,0,20,10,7,3,74.15,0.222,returning,1098.9,99.0
perfect,potential,30,0,30,0,0,4,1.62,0.283,open,600.0,60.0
cautious,potential,30,0,20,10,5,2,0,0.3,returning,187.2,20.0
balanced,potential,30,0,25,5,3,3,0.52,0.26,open,490.0,50.0
chaotic,potential,30,0,8,22,6,1,0,0.292,returning,248.64,24.0
high_skip,potential,30,0,5,25,5,1,0,0.4,returning,47.2,5.0
returning,potential,30,0,16,14,6,2,0,0.25,returning,308.48,32.0
overload,potential,30,0,26,4,4,3,68.11,0.218,returning,1100.9,101.0
optimizer,potential,30,0,27,3,3,4,1.57,0.198,open,822.96,81.0
low_energy,potential,30,0,17,13,8,3,0,0.353,returning,155.72,17.0
adversarial,potential,30,0,21,9,6,3,71.75,0.208,returning,1121.1,101.0
perfect,return,30,0,30,0,0,4,1.62,0.2,open,600.0,60.0
cautious,return,30,0,15,15,7,2,0,0.333,returning,140.4,15.0
balanced,return,30,0,22,8,7,3,0,0.227,returning,431.2,44.0
chaotic,return,30,0,10,20,6,2,0,0.267,returning,310.8,30.0
high_skip,return,30,0,5,25,4,1,0,0.4,returning,47.2,5.0
returning,return,30,0,13,17,8,2,0.29,0.231,returning,250.64,26.0
overload,return,30,0,28,2,2,4,72.09,0.216,overloaded,1209.9,111.0
optimizer,return,30,0,29,1,1,4,3.13,0.195,open,883.92,87.0
low_energy,return,30,0,17,13,5,4,0,0.353,returning,155.72,17.0
adversarial,return,30,0,15,15,8,2,38.26,0.213,returning,832.5,75.0
perfect,lost,90,0,90,0,0,12,4.87,0.189,open,1800.0,180.0
cautious,lost,90,0,58,32,17,6,0,0.207,returning,542.88,58.0
balanced,lost,90,0,74,16,12,8,3.13,0.203,returning,1450.4,148.0
chaotic,lost,90,0,41,49,21,6,4.0,0.211,returning,1274.28,123.0
high_skip,lost,90,0,18,72,17,3,0,0.278,returning,169.92,18.0
returning,lost,90,0,51,39,20,7,0,0.206,returning,983.28,102.0
overload,lost,90,0,79,11,9,19,75.71,0.176,returning,3150.1,289.0
optimizer,lost,90,0,82,8,8,12,5.63,0.195,sustainable,2499.36,246.0
low_energy,lost,90,0,41,49,23,13,0,0.244,returning,375.56,41.0
adversarial,lost,90,0,64,26,21,21,74.65,0.207,returning,3318.9,299.0
perfect,burnout,90,0,89,1,1,11,4.87,0.191,open,1780.0,178.0
cautious,burnout,90,0,55,35,22,7,0,0.273,returning,514.8,55.0
balanced,burnout,90,0,74,16,13,11,0.52,0.243,returning,1450.4,148.0
chaotic,burnout,90,0,47,43,24,8,0,0.248,returning,1460.76,141.0
high_skip,burnout,90,0,25,65,18,5,0,0.28,returning,236.0,25.0
returning,burnout,90,0,55,35,23,9,0,0.236,returning,1060.4,110.0
overload,burnout,90,0,82,8,7,21,68.36,0.186,sustainable,3161.0,290.0
optimizer,burnout,90,0,83,7,6,10,14.58,0.193,sustainable,2529.84,249.0
low_energy,burnout,90,0,44,46,23,13,0,0.25,returning,403.04,44.0
adversarial,burnout,90,0,60,30,17,19,70.78,0.183,returning,3096.9,279.0
perfect,potential,90,0,88,2,2,12,4.87,0.193,sustainable,1760.0,176.0
cautious,potential,90,0,57,33,20,8,0,0.211,returning,533.52,57.0
balanced,potential,90,0,72,18,15,11,0,0.243,returning,1411.2,144.0
chaotic,potential,90,0,43,47,22,6,0,0.225,sustainable,1336.44,129.0
high_skip,potential,90,0,26,64,17,7,0,0.269,returning,245.44,26.0
returning,potential,90,0,58,32,22,6,0.58,0.276,returning,1118.24,116.0
overload,potential,90,0,80,10,9,19,77.91,0.19,returning,3150.1,289.0
optimizer,potential,90,0,84,6,6,11,9.4,0.194,sustainable,2560.32,252.0
low_energy,potential,90,0,39,51,26,16,0,0.231,returning,357.24,39.0
adversarial,potential,90,0,62,28,23,19,71.79,0.188,returning,3130.2,282.0
perfect,return,90,0,87,3,3,12,4.87,0.201,open,1740.0,174.0
cautious,return,90,0,51,39,20,9,0,0.216,returning,477.36,51.0
balanced,return,90,0,74,16,13,11,3.13,0.236,returning,1450.4,148.0
chaotic,return,90,0,39,51,22,5,3.6,0.222,returning,1212.12,117.0
high_skip,return,90,0,16,74,14,3,0,0.312,returning,151.04,16.0
returning,return,90,0,52,38,26,5,0,0.202,returning,1002.56,104.0
overload,return,90,0,78,12,10,19,67.16,0.198,sustainable,3084.7,283.0
optimizer,return,90,0,86,4,4,11,9.4,0.194,sustainable,2621.28,258.0
low_energy,return,90,0,41,49,23,17,0,0.22,returning,375.56,41.0
adversarial,return,90,0,64,26,22,21,72.24,0.182,returning,3296.7,297.0
perfect,lost,180,0,179,1,1,25,4.06,0.19,integrated,3580.0,358.0
cautious,lost,180,0,112,68,41,19,0,0.223,returning,1048.32,112.0
balanced,lost,180,0,134,46,36,20,2.09,0.183,sustainable,2626.4,268.0
chaotic,lost,180,0,88,92,42,9,2.0,0.201,sustainable,2735.04,264.0
high_skip,lost,180,0,44,136,32,8,0,0.25,returning,415.36,44.0
returning,lost,180,0,99,81,45,15,0,0.237,returning,1908.72,198.0
overload,lost,180,0,159,21,17,44,66.62,0.184,sustainable,6114.9,561.0
optimizer,lost,180,0,168,12,11,25,7.83,0.198,integrated,5120.64,504.0
low_energy,lost,180,0,85,95,48,38,0,0.224,returning,778.6,85.0
adversarial,lost,180,0,135,45,36,51,74.73,0.184,returning,6748.8,608.0
perfect,burnout,180,0,178,2,2,25,4.06,0.202,sustainable,3560.0,356.0
cautious,burnout,180,0,112,68,44,16,0,0.214,returning,1048.32,112.0
balanced,burnout,180,0,141,39,34,18,0.52,0.188,sustainable,2763.6,282.0
chaotic,burnout,180,0,77,103,47,6,2.0,0.229,sustainable,2393.16,231.0
high_skip,burnout,180,0,54,126,38,11,0,0.296,returning,509.76,54.0
returning,burnout,180,0,108,72,43,21,0.29,0.194,returning,2082.24,216.0
overload,burnout,180,0,157,23,19,43,73.87,0.178,returning,6049.5,555.0
optimizer,burnout,180,0,172,8,7,24,0.3,0.194,integrated,5242.56,516.0
low_energy,burnout,180,0,84,96,38,26,0,0.238,returning,769.44,84.0
adversarial,burnout,180,0,115,65,45,39,73.45,0.184,returning,5860.8,528.0
perfect,potential,180,0,179,1,1,25,4.06,0.198,integrated,3580.0,358.0
cautious,potential,180,0,109,71,37,14,0,0.202,returning,1020.24,109.0
balanced,potential,180,0,148,32,24,22,0.52,0.216,sustainable,2900.8,296.0
chaotic,potential,180,0,79,101,37,14,5.8,0.186,sustainable,2455.32,237.0
high_skip,potential,180,0,45,135,32,4,0,0.222,returning,424.8,45.0
returning,potential,180,0,102,78,41,13,0,0.196,sustainable,1966.56,204.0
overload,potential,180,0,156,24,24,42,73.55,0.19,returning,6027.7,553.0
optimizer,potential,180,0,172,8,8,22,21.88,0.198,integrated,5242.56,516.0
low_energy,potential,180,0,95,85,48,34,0,0.2,returning,870.2,95.0
adversarial,potential,180,0,120,60,41,42,72.13,0.211,returning,6116.1,551.0
