profile,origin,days,seed,completed_days,skipped_days,return_count,recovery_days,burnout,action_concentration,ending_band,xp,material
perfect,lost,30,0,29,1,1,4,1.62,0.172,open,580.0,58.0
cautious,lost,30,0,21,9,7,1,0,0.238,returning,196.56,21.0
balanced,lost,30,0,24,6,6,4,1.04,0.188,returning,470.4,48.0
chaotic,lost,30,0,16,14,10,2,5.41,0.229,returning,497.28,48.0
high_skip,lost,30,0,12,18,5,2,0,0.25,returning,113.28,12.0
returning,lost,30,0,14,16,10,2,0.29,0.214,returning,269.92,28.0
overload,lost,30,0,27,3,3,3,74.54,0.171,overloaded,1144.5,105.0
optimizer,lost,30,0,27,3,3,4,1.57,0.185,open,822.96,81.0
low_energy,lost,30,0,13,17,7,3,0,0.231,returning,119.08,13.0
adversarial,lost,30,0,22,8,6,4,68.97,0.179,returning,1176.6,106.0
perfect,burnout,30,0,30,0,0,4,1.62,0.167,open,600.0,60.0
cautious,burnout,30,0,21,9,5,2,0,0.19,returning,196.56,21.0
balanced,burnout,30,0,26,4,3,4,1.04,0.192,open,509.6,52.0
chaotic,burnout,30,0,13,17,9,1,2.0,0.205,returning,404.04,39.0
high_skip,burnout,30,0,16,14,10,3,0,0.25,returning,151.04,16.0
returning,burnout,30,0,17,13,7,4,0.58,0.235,returning,327.76,34.0
overload,burnout,30,0,26,4,4,3,74.05,0.18,returning,1090.0,100.0
optimizer,burnout,30,0,28,2,2,2,27.45,0.179,open,853.44,84.0
low_energy,burnout,30,0,17,13,7,7,0,0.235,returning,155.72,17.0
adversarial,burnout,30,0,19,11,7,3,67.13,0.179,returning,1054.5,95.0
perfect,potential,30,0,30,0,0,4,1.62,0.167,open,600.0,60.0
cautious,potential,30,0,22,8,7,2,0,0.227,returning,205.92,22.0
balanced,potential,30,0,27,3,3,4,1.04,0.185,open,529.2,54.0
chaotic,potential,30,0,11,19,7,1,2.0,0.212,returning,341.88,33.0
high_skip,potential,30,0,12,18,9,2,0,0.25,returning,113.28,12.0
returning,potential,30,0,18,12,7,2,0,0.222,returning,347.04,36.0
overload,potential,30,0,27,3,3,4,66.72,0.167,open,1177.2,108.0
optimizer,potential,30,0,27,3,3,4,1.57,0.198,open,822.96,81.0
low_energy,potential,30,0,16,14,6,5,0,0.312,returning,146.56,16.0
adversarial,potential,30,0,22,8,6,4,73.78,0.173,returning,1221.0,110.0
perfect,return,30,0,30,0,0,4,1.62,0.167,open,600.0,60.0
cautious,return,30,0,11,19,5,0,0,0.273,returning,102.96,11.0
balanced,return,30,0,22,8,7,3,0.52,0.205,returning,431.2,44.0
chaotic,return,30,0,16,14,7,1,11.01,0.188,returning,497.28,48.0
high_skip,return,30,0,4,26,4,2,0,0.25,returning,37.76,4.0
returning,return,30,0,16,14,8,0,0.58,0.219,returning,308.48,32.0
overload,return,30,0,27,3,3,3,74.54,0.181,overloaded,1144.5,105.0
optimizer,return,30,0,29,1,1,4,3.13,0.195,open,883.92,87.0
low_energy,return,30,0,18,12,8,7,0,0.222,returning,164.88,18.0
adversarial,return,30,0,20,10,6,3,67.15,0.182,returning,1098.9,99.0
perfect,lost,90,0,87,3,3,12,4.87,0.172,open,1740.0,174.0
cautious,lost,90,0,52,38,24,8,0,0.212,returning,486.72,52.0
balanced,lost,90,0,70,20,16,10,3.13,0.2,returning,1372.0,140.0
chaotic,lost,90,0,46,44,22,7,3.8,0.188,returning,1429.68,138.0
high_skip,lost,90,0,19,71,13,0,0,0.263,returning,179.36,19.0
returning,lost,90,0,53,37,20,7,0.87,0.189,returning,1021.84,106.0
overload,lost,90,0,78,12,12,18,76.04,0.178,returning,3062.9,281.0
optimizer,lost,90,0,82,8,8,12,5.63,0.195,sustainable,2499.36,246.0
low_energy,lost,90,0,40,50,24,12,0,0.3,returning,366.4,40.0
adversarial,lost,90,0,69,21,16,25,68.12,0.174,sustainable,3563.1,321.0
perfect,burnout,90,0,90,0,0,12,4.87,0.167,open,1800.0,180.0
cautious,burnout,90,0,56,34,20,5,0,0.214,returning,524.16,56.0
